[볼린저 하단 × S02 그림자] 20260819  (생성 19:17:42)
일봉 최신성: 일봉 최신일 20260818 = 직전 거래일

BELOW: 1건 (왕관 0) — 30분 평균 6.55%
OUTSIDE: 25건 (왕관 1) — 30분 평균 0.18%
NO_BAND: 2건 (왕관 0) — 30분 평균 -1.53%

건별: 상태 | 왕관 | 종목 | 신호시각 | 하단대비% | 30분% | 종가%
  OUTSIDE| N | 445680 큐리옥스바이오시스템즈 | 09:02:47 | 36.686 | -0.571 | -0.8
  OUTSIDE| N | 194700 노바렉스 | 09:05:59 | 1.235 | -1.137 | -2.537
  OUTSIDE| N | 387690 387690 | 09:09:38 | 104.678 | -2.423 | -6.681
  BELOW  | N | 019210 와이지-원 | 09:14:33 | -2.679 | 6.555 | 6.904
  OUTSIDE| N | 226950 올릭스 | 09:16:22 | 15.544 | 3.421 | 1.955
  OUTSIDE| N | 439960 코스모로보틱스 | 09:20:32 | 12.699 | 4.124 | -0.541
  OUTSIDE| N | 950160 코오롱티슈진 | 09:32:51 | 400.278 | -3.69 | -4.244
  OUTSIDE| N | 100790 미래에셋벤처투자 | 09:33:58 | 50.324 | 0.963 | -1.797
  OUTSIDE| N | 417840 저스템 | 09:34:00 | 102.86 | 0.145 | -5.664
  NO_BAND| N | 487400 487400 | 09:35:36 |  | -2.981 | -5.318
  OUTSIDE| N | 387690 387690 | 09:36:00 | 101.823 | -5.361 | -5.361
  OUTSIDE| N | 950160 코오롱티슈진 | 09:52:51 | 375.357 | 3.883 | 0.777
  OUTSIDE| N | 144960 뉴파워프라즈마 | 09:54:27 | 37.06 | 0.465 | -1.953
  OUTSIDE| N | 420770 기가비스 | 09:54:29 | 44.964 | 2.782 | 0.0
  OUTSIDE| N | 125490 한라캐스트 | 10:04:55 | 143.399 | -3.58 | -5.136
  OUTSIDE| N | 125490 한라캐스트 | 10:27:43 | 138.474 | 0.079 | -3.177
  OUTSIDE| N | 108490 로보티즈 | 10:37:23 | 80.054 | -1.613 | -4.839
  OUTSIDE| N | 448900 한국피아이엠 | 10:38:46 | 43.666 | 0.0 | -0.678
  OUTSIDE| N | 108490 로보티즈 | 10:52:42 | 78.118 | 0.725 | -3.804
  OUTSIDE| N | 131290 티에스이 | 11:12:44 | 77.441 | 1.344 | -1.344
  OUTSIDE| N | 257720 실리콘투 | 11:16:29 | 46.106 | 0.768 | -0.22
  OUTSIDE| N | 058610 에스피지 | 11:21:42 | 71.105 | -0.383 | -2.778
  OUTSIDE| N | 277810 레인보우로보틱스 | 11:22:17 | 20.008 | 0.217 | 1.412
  NO_BAND| N | 487400 487400 | 11:26:40 |  | -0.085 | 0.256
  OUTSIDE| N | 064290 인텍플러스 | 11:35:41 | 53.629 | 1.007 | -2.734
  OUTSIDE| Y | 153890 153890 | 11:41:54 | 272.536 | 1.562 | 1.786
  OUTSIDE| N | 327260 RF머트리얼즈 | 12:59:59 | 129.343 | -0.154 | 2.154
  OUTSIDE| N | 064290 인텍플러스 | 13:42:43 | 51.197 | 2.047 | -1.17
