[볼린저 하단 × S02 그림자] 20260820  (생성 16:25:06)
일봉 최신성: 일봉 최신일 20260819 = 직전 거래일

OUTSIDE: 22건 (왕관 2) — 30분 평균 0.2%

건별: 상태 | 왕관 | 종목 | 신호시각 | 하단대비% | 30분% | 종가%
  OUTSIDE| N | 310210 보로노이 | 09:04:16 | 102.042 | -6.147 | -5.488
  OUTSIDE| N | 087010 펩트론 | 09:09:33 | 94.713 | -0.478 | -1.488
  OUTSIDE| N | 067310 하나마이크론 | 09:11:35 | 42.063 | 3.429 | 1.509
  OUTSIDE| N | 319660 피에스케이 | 09:14:04 | 22.483 | 0.93 | 1.782
  OUTSIDE| N | 098120 마이크로컨텍솔 | 09:17:30 | 191.19 | -1.29 | 6.968
  OUTSIDE| N | 095340 ISC | 09:21:42 | 64.443 | -1.739 | -2.609
  OUTSIDE| N | 087010 펩트론 | 09:28:10 | 92.333 | 0.484 | -0.269
  OUTSIDE| N | 064760 티씨케이 | 09:29:44 | 70.333 | -0.218 | -0.436
  OUTSIDE| N | 126730 코칩 | 09:34:33 | 166.062 | 2.709 | -4.433
  OUTSIDE| N | 131290 티에스이 | 09:35:07 | 66.533 | 0.615 | -1.23
  OUTSIDE| Y | 950160 코오롱티슈진 | 09:35:36 | 147.211 | 4.545 | 3.349
  OUTSIDE| N | 417840 저스템 | 09:35:59 | 86.284 | 2.701 | 1.35
  OUTSIDE| N | 095340 ISC | 09:37:57 | 63.013 | -0.526 | -1.754
  OUTSIDE| N | 477850 마키나락스 | 09:40:08 | 50.838 | 1.28 | 2.011
  OUTSIDE| N | 084370 유진테크 | 09:45:11 | 45.757 | -1.103 | -0.221
  OUTSIDE| N | 019210 와이지-원 | 09:46:46 | 2.054 | -0.676 | 4.392
  OUTSIDE| N | 064760 티씨케이 | 09:48:13 | 70.704 | 0.217 | -0.652
  OUTSIDE| N | 420770 기가비스 | 10:01:33 | 34.829 | -1.958 | -0.489
  OUTSIDE| N | 420770 기가비스 | 10:20:00 | 32.3 | 0.748 | 1.413
  OUTSIDE| Y | 153890 153890 | 10:21:41 | 276.983 | 1.01 | -1.321
  OUTSIDE| N | 082920 비츠로셀 | 12:35:08 | 34.106 | 0.365 | -0.657
  OUTSIDE| N | 131290 티에스이 | 14:17:00 | 64.144 | -0.416 | 0.208
