[볼린저 하단 × S02 그림자] 20260824  (생성 16:25:04)
일봉 최신성: 일봉 최신일 20260821 = 직전 거래일

OUTSIDE: 11건 (왕관 1) — 30분 평균 -0.57%
NO_BAND: 1건 (왕관 0) — 30분 평균 -0.06%

건별: 상태 | 왕관 | 종목 | 신호시각 | 하단대비% | 30분% | 종가%
  OUTSIDE| N | 082920 비츠로셀 | 09:45:47 | 21.265 | -0.323 | -1.29
  OUTSIDE| N | 348370 엔켐 | 09:55:21 | 35.138 | -0.817 | -0.817
  OUTSIDE| Y | 387690 레메디 | 10:06:45 | 108.86 | -0.158 | -7.334
  OUTSIDE| N | 060250 NHN KCP | 10:17:03 | 45.681 | -1.189 | -3.942
  NO_BAND| N | 282620 282620 | 10:38:36 |  | -0.059 | -5.638
  OUTSIDE| N | 327260 RF머트리얼즈 | 10:45:54 | 112.967 | -0.746 | 2.239
  OUTSIDE| N | 234340 헥토파이낸셜 | 11:15:09 | 47.575 | -0.698 | -4.186
  OUTSIDE| N | 095340 ISC | 11:22:47 | 50.534 | -0.957 | -1.978
  OUTSIDE| N | 397030 에이프릴바이오 | 11:23:11 | 7.231 | 0.748 | -0.249
  OUTSIDE| N | 131290 티에스이 | 11:30:46 | 69.448 | 0.0 | -0.202
  OUTSIDE| N | 310210 보로노이 | 11:39:55 | 77.926 | -0.663 | 1.025
  OUTSIDE| N | 124500 아이티센글로벌 | 14:06:38 | 126.761 | -1.429 | -1.299
