[볼린저 하단 × S02 그림자] 20260901  (생성 16:25:03)
일봉 최신성: 일봉 최신일 20260831 = 직전 거래일

BELOW: 1건 (왕관 0) — 30분 평균 -0.5%
NEAR: 1건 (왕관 0) — 30분 평균 3.36%
OUTSIDE: 13건 (왕관 0) — 30분 평균 -0.17%
NO_BAND: 1건 (왕관 0) — 30분 평균 2.88%

건별: 상태 | 왕관 | 종목 | 신호시각 | 하단대비% | 30분% | 종가%
  OUTSIDE| N | 028300 HLB | 09:07:40 | 18.165 |  | 
  BELOW  | N | 030530 원익홀딩스 | 09:26:41 | -2.358 | -0.496 | -2.206
  OUTSIDE| N | 294570 쿠콘 | 09:40:59 | 94.666 |  | 
  OUTSIDE| N | 108490 로보티즈 | 09:41:25 | 18.905 |  | 
  OUTSIDE| N | 348370 엔켐 | 09:43:10 | 26.055 |  | 
  NEAR   | N | 420770 기가비스 | 09:44:21 | 0.293 | 3.356 | 3.455
  OUTSIDE| N | 183300 코미코 | 09:45:45 | 31.701 | -0.198 | -0.198
  OUTSIDE| N | 007390 네이처셀 | 09:49:57 | 22.853 |  | 
  OUTSIDE| N | 028300 HLB | 09:55:40 | 10.393 |  | 
  OUTSIDE| N | 123330 제닉 | 09:59:50 | 52.651 | 0.145 | 2.616
  OUTSIDE| N | 095610 테스 | 10:00:05 | 7.796 | -0.923 | -0.074
  OUTSIDE| N | 085910 네오티스 | 10:00:05 | 2.231 |  | 
  OUTSIDE| N | 010170 대한광통신 | 10:00:50 | 33.325 |  | 
  OUTSIDE| N | 257720 실리콘투 | 10:24:45 | 59.975 |  | 
  NO_BAND| N | 950260 950260 | 10:30:42 |  | 2.885 | 8.571
  OUTSIDE| N | 241710 코스메카코리아 | 11:32:54 | 84.129 | 0.288 | 1.656
